wptname,region,airways,direction,chapter,page,alternates,aircraft,chart,ACL,updatedAt,createdAt,objectId
ZAJ,IRAN,"R661, UL125, G482",OUTBOUND,10.1,19-72,OITT,Widebody,,,,,
TBZ,IRAN,"R661, UL125, G482",OUTBOUND,10.1,19-72,OITT,Widebody,,,,,
MAGRI,IRAN,"R661, UL125, G482",OUTBOUND,10.1,19-72,OITT,Widebody,,,,,
ZAJ,IRAN,UR654,OUTBOUND,10.1,20-72,OITT,Widebody,,,,,
MAGRI,IRAN,"UP574, R654",OUTBOUND,10.1,21-72,"OIEE, OIII",Widebody,,,,,
PEKAM,IRAN,"UP574, R654",OUTBOUND,10.1,21-72,"OIEE, OIII",Widebody,,,,,
SAV,IRAN,"UP574, R654",OUTBOUND,10.1,21-72,"OIEE, OIII",Widebody,,,,,
SESBI,IRAN,"UP574, R654",OUTBOUND,10.1,21-72,"OIEE, OIII",Widebody,,,,,
LABKA,IRAN,"UP574, R654",OUTBOUND,10.1,21-72,"OIEE, OIII",Widebody,,,,,
ZAJ,IRAN,"UP574, R654",OUTBOUND,10.1,21-72,"OIEE, OIII",Widebody,,,,,
RADAL,IRAN,N39,OUTBOUND,10.1,22-72,"OIIE, OIII",Widebody,,,,,
NSR,IRAN/AZERBAIJAN/ARMENIA,"R661, UL125, L125",OUTBOUND,10.1,23-72,"UBBN, OITT, UDYZ",Widebody,,,,,
TBZ,IRAN/AZERBAIJAN/ARMENIA,"R661, UL125, L125",OUTBOUND,10.1,23-72,"UBBN, OITT, UDYZ",Widebody,,,,,
DULAV,IRAN/AZERBAIJAN/ARMENIA,"R661, UL125, L125",OUTBOUND,10.1,23-72,"UBBN, OITT, UDYZ",Widebody,,,,,
NEGAN,IRAN/AZERBAIJAN/ARMENIA,"R661, UL125, L125",OUTBOUND,10.1,23-72,"UBBN, OITT, UDYZ",Widebody,,,,,
REGBI,IRAN/AZERBAIJAN/ARMENIA,"R661, UL125, L125",OUTBOUND,10.1,23-72,"UBBN, OITT, UDYZ",Widebody,,,,,
BND,IRAN,A419,OUTBOUND,10.1,24-72,"OIKB, OMSJ, OMDB, OMAA, OIKK",Widebody,,,,,
TAVNO,IRAN,A419,OUTBOUND,10.1,24-72,"OIKB, OMSJ, OMDB, OMAA, OIKK",Widebody,,,,,
NANTO,IRAN,A419,OUTBOUND,10.1,24-72,"OIKB, OMSJ, OMDB, OMAA, OIKK",Widebody,,,,,
ALMEK,IRAN,A419,OUTBOUND,10.1,24-72,"OIKB, OMSJ, OMDB, OMAA, OIKK",Widebody,,,,,
KER,IRAN,A419,OUTBOUND,10.1,24-72,"OIKB, OMSJ, OMDB, OMAA, OIKK",Widebody,,,,,
KER,IRAN,A419,OUTBOUND,10.1,25-72,OIKK,Widebody,,,,,
AVGUV,IRAN,A419,OUTBOUND,10.1,25-72,OIKK,Widebody,,,,,
TBS,IRAN,A419,OUTBOUND,10.1,25-72,OIKK,Widebody,,,,,
TBS,IRAN/TURKMENISTAN,A419,OUTBOUND,10.1,26-72,UTAA,Widebody,,,,,
RIKOP,IRAN/TURKMENISTAN,A419,OUTBOUND,10.1,26-72,UTAA,Widebody,,,,,
ASB,IRAN/TURKMENISTAN,A419,OUTBOUND,10.1,26-72,UTAA,Widebody,,,,,
