VOHS;HYD;Hyderabad;Rajiv Gandhi International;17.24055556;78.42888889;1972;-1;Asia/Kolkata;1
OPRN;ISB;Islamabad;Benazir Bhutto International;33.616653;73.099233;1668;2;Asia/Karachi;1
LTBA;IST;Istanbul;Ataturk International;40.97616722;28.81409389;163;5;Europe/Istanbul;1
VIJP;JAI;Jaipur;;26.82416667;75.80241667;1263;1;Asia/Kolkata;1
WIII;CGK;Jakarta;Soekarno Hatta;-6.12222222;106.65222222;112;1;Asia/Jakarta;1
OEJN;JED;Jeddah;King Abdulaziz International;21.68113472;39.155485;48;3;Asia/Riyadh;1
FAOR;JBO;Johannesburg;O.R. Tambo;-26.13369444;28.24231667;5558;-18;Africa/Johannesburg;1
OPKC;KHI;Karachi;Jinnah International;24.906547;67.160797;100;1;Asia/Karachi;1
VNKT;KTM;Kathmandu;Tribhuvan;27.69722222;85.35777778;4390;0;Asia/Kathmandu;1
HSSS;KRT;Khartoum;;15.589497;32.553161;1265;3;Africa/Khartoum;1
VECC;CCU;Kolkata;;22.65394444;88.44671667;23;-1;Asia/Kolkata;1
WMKK;KUL;Kuala Lumpur;KL International;2.74333333;101.69805556;69;0;Asia/Kuala_Lumpur;1
OKBK;KWI;Kuwait City;Kuwait International;29.22656667;47.96892778;206;3;Asia/Kuwait;1
UKBB;KBP;Kyiv;Boryspil International;50.34472222;30.89333333;427;7;Europe/Kiev;1
DNMM;LOS;Lagos;Murtala Muhammed;6.57861111;3.32277778;135;-3;Africa/Lagos;1
KLAX;LAX;Los Angeles;Los Angeles Intl;33.94252222;-118.40716111;125;13;America/Los_Angeles;1
OPLA;LHE;Lahore;Allama Iqbal International;31.521564;74.403594;712;2;Asia/Karachi;1
LCLK;LCA;Larnaka;International;34.87888889;33.63027778;11;4;Asia/Nicosia;1
FWKI;LLW;Lilongwe;Kamuzu International;-13.789378;33.781;4035;-5;Africa/Blantyre;1
EGLL;LHR;London;Heathrow;51.4775;-0.46138889;83;-2;Europe/London;1
OEMA;MED;Madinah;Prince Mohammad Bin Abdulaziz;24.55235128;39.70559253;2151;3;Asia/Riyadh;1
LEMD;MAD;Madrid;Barajas;40.47222222;-3.56083333;2001;-2;Europe/Madrid;1
VRMM;MLE;Male;;4.19166667;73.52916667;6;-3;Indian/Maldives;1
EGCC;MAN;Manchester;;53.35388889;-2.275;257;-3;Europe/London;1
RPLL;MNL;Manila;Ninoy Aquino;14.50994111;121.01385889;75;-2;Asia/Manila;1
FIMP;MRU;Mauritius;Sir Seewoosagur Ramgoolam;-20.43;57.68305556;183;-19;Indian/Mauritius;1
YMML;MEL;Melbourne;;-37.67333333;144.84333333;434;11;Australia/Melbourne;1
LIMC;MXP;Milano;Malpensa;45.63;8.72305556;768;1;Europe/Rome;1
UMMS;MSQ;Minsk;Minsk-2;53.8825;28.0325;669;0;Europe/Minsk;1
DTMB;MIR;Monastir;Habib Bourguiba;35.75805556;10.75472222;9;2;Africa/Tunis;1
UUDD;DME;Moscow;Domodedovo;55.40833333;37.90666667;593;10;Europe/Moscow;1
UUEE;SVO;Moscow;Sheremetyevo;55.97166667;37.415;630;10;Europe/Moscow;1
VABB;BOM;Mumbai;;19.09153889;72.86598056;37;-1;Asia/Kolkata;1
EDDM;MUC;Munchen;;48.35378333;11.78608611;1487;2;Europe/Berlin;1
OOMS;MCT;Muscat;International;23.59285833;58.28179722;48;1;Asia/Muscat;1
